ID,Sky,Temperature,Precipitation,Wind,Animal,Place,CSW,CSS,CSS_and,CSS_or,CSS_both,CSP,CSP_simple,CSP_know,CSP_gen,CSP_pizza,CSP_drizzle,CSP_shower,S1,S2,CSA,T5,Falcon
300,overcast,-6,1,67,bird,meadows,There is strong wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is snow,There is snow,There is snow.,There will be snow.,There is snow.,There is snow.,There is snow,"W, S, P, T",There is strong wind 67 km/h. The sky is overcast. There is snow 1 mm/h. The temperature is -6 °C.,There is strong wind 67 km/h. The sky is overcast. There is snow 1 mm/h. The temperature is -6 °C.,The temperature will be -6 °C.,"
Tomorrow on the meadows, there will be strong wind at 67 km/h. The sky will be overcast, and there will be snow at a rate of 1 mm/h. The temperature will be -6 °C."
301,cloudy,-6,2,15,cat,beach,There is no wind,There is mist,There is mist,There is mist,There is mist,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"T, S, P, W","T, mist, snow, no wind 15 km/h","T, mist, snow","Tomorrow in/on the beach T, mist, snow, no wind 15 km/h.","'The weather tomorrow on the beach will be misty, with some snow, no wind, and a temperature of 15 km/h.'"
302,cloudy,12,16,2,bird,meadows,There is no wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is rain,There is rain.,There is no rain and no snow.,There will be rain.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is no wind 2 km/h. The sky is cloudy. There is rain 16 mm/h. The temperature is 12 °C.,There is no wind 2 km/h. The sky is cloudy. There is rain 16 mm/h. The temperature is 12 °C.,Tomorrow in the meadows there is no wind 2 km/h. The sky is cloudy. There is rain 16 mm/h. The temperature is 12 °C.,"
The weather forecast for tomorrow is: Expect a cloudy day with no wind at 2 km/h. There will be light rain with a rainfall of 16 mm/h. The temperature will be around 12 °C."
303,cloudy,-5,0,14,cat,mountains,There is no wind,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is snow,There is snow,There is snow.,There is no snow.,There is snow,There is snow,There is snow,"T, S, P, W",The temperature is -5 °C. The sky is cloudy. There is snow 0 mm/h. There is no wind 14 km/h.,The temperature is -5 °C. The sky is cloudy. There is snow 0 mm/h. There is no wind 14 km/h.,The temperature will be -5 °C. The sky will be cloudy. There will be 0 mm/h of snow. The wind will be blowing at 14 km/h.,"
Tomorrow on the mountains, the temperature will be -5 °C. The sky will be cloudy, and there will be 0 mm/h of snow. There will be no wind at 14 km/h."
304,cloudy,28,19,63,fish,city,There is strong wind.,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is rain,There is rain.,There is no rain and no snow.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",There is smog. There is rain 19 mm/h. The temperature is 28 °C. There is strong wind 63 km/h.,There is smog. There is rain 19 mm/h. The temperature is 28 °C.,Tomorrow in the city there is smog. There is rain 19 mm/h. The temperature is 28 °C. There is strong wind 63 km/h.,"
Tomorrow in the city, there will be smog and rain with an amount of 19 mm/h. The temperature will be 28 °C, and there will be a strong wind at 63 km/h."
305,clear,23,6,70,cat,mountains,There is strong wind.,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is rain.,No snow,There is rain.,There is rain.,There is rain.,"P, S, T, W",There is no rain and no snow 6 mm/h. The temperature is 23 °C. There is strong wind 70 km/h.,There is no rain and no snow 6 mm/h. The temperature is 23 °C.,Tomorrow in the mountains there is no rain and no snow 6 mm/h. The temperature is 23 °C. There is strong wind 70 km/h.,"
Tomorrow in the mountains, there will be no rain or snow, and the temperature will be a comfortable 23 °C. A strong wind will blow at 70 km/h."
306,clear,27,10,33,bird,meadows,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is rain.,No snow,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is wind 33 km/h. The sky is clear. There is no rain and no snow 10 mm/h. The temperature is 27 °C.,There is no rain and no snow 10 mm/h. The temperature is 27 °C.,Tomorrow in the meadows there is wind 33 km/h. The sky is clear. There is no rain and no snow 10 mm/h. The temperature is 27 °C.,"
The weather forecast for tomorrow is for the meadows, where the wind will be blowing at 33 km/h. The sky will be clear, with no rain or snow. The temperature will be 27 °C."
307,clear,-8,9,49,bird,beach,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is snow,There is snow,No snow,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 49 km/h. The sky is clear. There is no rain and no snow 9 mm/h. The temperature is -8 °C.,There is no rain and no snow 9 mm/h. The temperature is -8 °C.,Tomorrow in/on the beach there is wind 49 km/h. The sky is clear. There is no rain and no snow 9 mm/h. The temperature is -8 °C.,"
Tomorrow on the beach, the weather will be sunny with a gentle breeze blowing at 49 km/h. The sky will be clear, providing a beautiful view of the coastline. There will be no rain or snow, and the temperature will be -8 °C."
308,overcast,19,0,49,bird,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,No snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is wind 49 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 19 °C.,There is smog. There is no rain and no snow 0 mm/h. The temperature is 19 °C.,"Tomorrow in the city there is smog, wind 49 km/h, no rain and no snow 0 mm/h. The temperature is 19 °C.","
Tomorrow in the city, there will be a gentle breeze blowing at 49 km/h. The air quality will be affected by smog, with no rain or snow expected. The temperature will be a comfortable 19 °C."
309,overcast,-9,5,62,bird,city,There is strong wind,There is smog,There is smog,There is smog,There is smog,There is snow,There is snow,There is snow.,There will be snow.,There is snow.,There is snow.,There is snow.,"W, S, P, T",There is strong wind 62 km/h. There is smog. There is snow 5 mm/h. The temperature is -9 °C.,There is smog. There is snow 5 mm/h. The temperature is -9 °C.,"Tomorrow in the city there is strong wind 62 km/h, smog, snow 5 mm/h and temperature -9 °C.","
Tomorrow in the city, there will be strong wind at 62 km/h. There will also be smog, as well as 5 mm/h of snow. The temperature will be -9 °C."
310,cloudy,23,7,50,fish,city,There is strong wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",There is smog. There is rain 7 mm/h. The temperature is 23 °C. There is strong wind 50 km/h.,There is smog. There is rain 7 mm/h. The temperature is 23 °C.,Tomorrow in the city there is smog. There is rain 7 mm/h. The temperature is 23 °C. There is strong wind 50 km/h.,"
Tomorrow in the city, there will be smog and rain with 7 mm/h. The temperature will be 23 °C, and there will be a strong wind at 50 km/h."
311,clear,24,0,6,cat,city,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 24 °C. The sky is clear.,There is no rain and no snow 0 mm/h. The temperature is 24 °C. The sky is clear.,Tomorrow in the city there is no rain and no snow 0 mm/h. The temperature is 24 °C. The sky is clear.,"'Tomorrow in the city, there will be no rain or snow, and the temperature will be 24 °C. The sky will be clear.'"
312,overcast,22,7,58,fish,mountains,There is strong wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is overcast. There is storm. 7 mm/h. The temperature is 22 °C. There is strong wind 58 km/h.,The sky is overcast. There is storm. 7 mm/h. The temperature is 22 °C.,The sky is overcast. There is storm. 7 mm/h. The temperature is 22 °C. There is strong wind 58 km/h.,"
Tomorrow, on the mountains, the weather will be overcast with stormy conditions and a strong wind at 58 km/h. The temperature will be around 22 °C."
313,overcast,-8,0,45,bird,mountains,There is wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is no rain and no snow,There is snow,There is snow,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 45 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is -8 °C.,There is no rain and no snow 0 mm/h. The temperature is -8 °C.,Tomorrow in the mountains there is wind 45 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is -8 °C.,"
Tomorrow on the mountains, the weather will be windy with a wind speed of 45 km/h. The sky will be overcast, and there will be no rain or snow. The temperature will be -8 degrees Celsius."
314,cloudy,6,12,28,bird,mountains,There is wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is storm.,There is rain.,There is snow.,There will be snow.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is wind 28 km/h. The sky is cloudy. There is storm. 12 mm/h. The temperature is 6 °C.,There is storm. 12 mm/h. The temperature is 6 °C.,"Tomorrow in the mountains there is wind 28 km/h, the sky is cloudy, there is storm, 12 mm/h and the temperature is 6 °C.","
Tomorrow on the mountains, there will be a strong wind at 28 km/h. The sky will be cloudy, and there will be a storm. The temperature will be around 6 °C."
315,overcast,1,4,13,fish,mountains,There is no wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is rain.,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"S, P, T, W",The sky is overcast. There is storm. 4 mm/h. The temperature is 1 °C.,The sky is overcast. There is storm. 4 mm/h. The temperature is 1 °C.,The temperature will be 1 °C. The sky will be overcast. There will be a storm with 4 mm/h.,"
The weather forecast for tomorrow is for the mountains. The sky will be overcast, and there will be a storm with 4 mm/h of precipitation. The temperature will be around 1 °C."
316,cloudy,27,7,59,bird,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is strong wind 59 km/h. There is mist. There is rain 7 mm/h. The temperature is 27 °C.,There is mist. There is rain 7 mm/h. The temperature is 27 °C.,"Tomorrow in/on the beach strong wind 59 km/h, there is mist, there is rain 7 mm/h. The temperature is 27 °C.","
Tomorrow on the beach, there will be strong wind at 59 km/h. There will be mist, and it will rain 7 mm/h. The temperature will be 27 °C."
317,overcast,14,0,43,cat,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 14 °C. There is mist. There is no rain and no snow 0 mm/h. There is wind 43 km/h.,The temperature is 14 °C. There is mist. There is no rain and no snow 0 mm/h. There is no wind 43 km/h.,Tomorrow there will be mist and a wind of 43 km/h. The temperature will be 14 °C.,"
The weather forecast for tomorrow on the beach is: Expect sunny skies with a comfortable temperature of 14 °C. There will be a light mist, but no rain or snow. A gentle breeze will blow at 43 km/h, providing a pleasant day at the beach."
318,clear,14,0,7,cat,city,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 14 °C. The sky is clear.,There is no rain and no snow 0 mm/h. The temperature is 14 °C. The sky is clear.,Tomorrow in the city there is no rain and no snow 0 mm/h. The temperature is 14 °C. The sky is clear.,"
The weather in the city tomorrow is expected to be mostly sunny with a comfortable temperature of 14°C. There will be no rain or snow, and the sky will be clear."
319,cloudy,10,1,52,bird,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is no rain and no snow.,There is rain and snow.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is strong wind 52 km/h. There is mist. There is rain 1 mm/h. The temperature is 10 °C.,There is mist. There is rain 1 mm/h. The temperature is 10 °C.,Tomorrow in/on the beach there is strong wind 52 km/h. There is mist. There is rain 1 mm/h. The temperature is 10 °C.,"
Tomorrow on the beach, there will be strong wind at 52 km/h. There will be mist, and 1 mm/h of rain. The temperature will be 10 °C."
320,cloudy,4,7,13,bird,city,There is no wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is snow.,There will be snow.,There is snow,There is rain.,There is rain.,"W, S, P, T",There is no wind 13 km/h. There is smog. There is rain 7 mm/h. The temperature is 4 °C.,There is no wind 13 km/h. There is smog. There is rain 7 mm/h. The temperature is 4 °C.,Tomorrow in the city there is no wind 13 km/h. There is smog. There is rain 7 mm/h. The temperature is 4 °C.,"
Tomorrow in the city, there will be no wind at 13 km/h. The temperature will be 4 °C, and there will be smog. There will be 7 mm/h of rain."
321,cloudy,17,12,12,cat,city,There is no wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 17 °C. There is smog. There is rain 12 mm/h. There is no wind 12 km/h.,The temperature is 17 °C. There is smog. There is rain 12 mm/h. There is no wind 12 km/h.,Tomorrow in the city there is smog. The temperature is 17 °C. There is rain 12 mm/h. There is no wind 12 km/h.,"
The weather in the city tomorrow is expected to be mostly cloudy with a temperature of 17 °C. There will be a light rain of 12 mm/h, and a moderate rain with 12 km/h wind."
322,overcast,6,0,65,fish,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W",There is mist. There is no rain and no snow 0 mm/h. The temperature is 6 °C. There is strong wind 65 km/h.,There is mist. There is no rain and no snow 0 mm/h. The temperature is 6 °C. There is strong wind 65 km/h.,Tomorrow there is mist. There is no rain and no snow 0 mm/h. The temperature is 6 °C. There is strong wind 65 km/h.,"
Tomorrow on the beach, there will be mist. No rain or snow is expected, and the temperature will be 6 °C. Additionally, there will be a strong wind blowing at 65 km/h."
323,overcast,24,19,65,cat,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 24 °C. There is mist. There is rain 19 mm/h. There is strong wind 65 km/h.,The temperature is 24 °C. There is mist. There is rain 19 mm/h. There is strong wind 65 km/h.,Tomorrow in/on the beach the temperature is 24 °C. There is mist. There is rain 19 mm/h. There is strong wind 65 km/h.,"
The weather forecast for tomorrow on the beach is: Expect a warm day with a temperature of 24 °C. There will be a chance of rain with 19 mm/h, accompanied by a strong wind at 65 km/h."
324,cloudy,16,0,11,cat,mountains,There is no wind,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 16 °C. The sky is cloudy. There is no rain and no snow 0 mm/h. There is no wind 11 km/h.,The temperature is 16 °C. The sky is cloudy. There is no rain and no snow 0 mm/h. There is no wind 11 km/h.,The temperature will be 16 °C. The sky will be cloudy. There will be no rain and no snow. The wind will be 11 km/h.,"
The weather forecast for tomorrow is for the mountains. The temperature will be 16 °C, and the sky will be cloudy. There will be no rain or snow, and the air will be calm with a slight breeze at 11 km/h."
325,overcast,21,14,47,cat,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 21 °C. There is smog. There is rain 14 mm/h. There is wind 47 km/h.,The temperature is 21 °C. There is smog. There is rain 14 mm/h.,Tomorrow in the city there is smog. The temperature is 21 °C. There is rain 14 mm/h. There is wind 47 km/h.,"
The weather forecast for tomorrow in the city is: Expect partly cloudy skies with a high of 21 °C. There will be a light rain of 14 mm/h, accompanied by a gentle breeze blowing at 47 km/h."
326,clear,2,16,44,cat,mountains,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is snow.,No snow,There is snow,There is snow,There is snow,"P, S, T, W","P, S, T, W","P, S, T","Tomorrow in/on the mountains P, S, T, W.","'Tomorrow, on the mountains, P, S, T, W.'"
327,clear,25,2,54,cat,city,There is strong wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is rain.,There is rain.,There is rain.,"P, S, T, W",There is no rain and no snow 2 mm/h. The temperature is 25 °C. There is strong wind 54 km/h.,There is no rain and no snow 2 mm/h. The temperature is 25 °C.,Tomorrow in the city there is no rain and no snow 2 mm/h. The temperature is 25 °C. There is strong wind 54 km/h.,"
The weather in the city tomorrow is expected to be mostly sunny with a comfortable temperature of 25 °C. There will be a light breeze blowing at 54 km/h, making it a great day to enjoy outdoor activities."
328,cloudy,16,0,41,bird,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is wind 41 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 16 °C.,There is smog. There is no rain and no snow 0 mm/h. The temperature is 16 °C.,Tomorrow in the city there is wind 41 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 16 °C.,"
The weather forecast for tomorrow in the city is: Expect a windy day with a gentle breeze blowing at 41 km/h. There will be some smog in the air, but no rain or snow to speak of. The temperature will be a comfortable 16 °C."
329,overcast,14,2,68,fish,city,There is strong wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is rain.,There is rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W","S, P, T, W","S, P, T","Tomorrow in the city S, P, T, W.","
The weather in the city tomorrow will be mostly sunny with a chance of showers in the afternoon."
330,clear,-6,14,4,fish,beach,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is snow,There is snow,No snow,There is snow,There is snow,There is snow,"P, S, T, W","P, S, T, W","P, S, T",Tomorrow it will be sunny with a high of 23 °C and a low of 13 °C.,"'Tomorrow on the beach, it will be partly sunny with a chance of showers. P, S, T, W.'"
331,cloudy,-6,0,30,bird,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is no rain and no snow,There is snow,There is snow,There is no snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 30 km/h. There is mist. There is no rain and no snow 0 mm/h. The temperature is -6 °C.,There is mist. There is no rain and no snow 0 mm/h. The temperature is -6 °C.,Tomorrow in/on the beach there is wind 30 km/h. There is mist. There is no rain and no snow 0 mm/h. The temperature is -6 °C.,"
Tomorrow on the beach, the wind will be blowing at 30 km/h. There will be mist, but no rain or snow. The temperature will be -6 °C."
332,overcast,4,3,73,fish,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is no rain and no snow.,There will be rain.,There is rain.,There is snow,There is rain.,"S, P, T, W",There is mist. There is rain 3 mm/h. The temperature is 4 °C. There is strong wind 73 km/h.,There is mist. There is rain 3 mm/h. The temperature is 4 °C.,Tomorrow in/on the beach there is mist. There is rain 3 mm/h. The temperature is 4 °C. There is strong wind 73 km/h.,"
Tomorrow on the beach, there will be mist and rain with 3 mm/h. The temperature will be 4 °C, and there will be strong wind at 73 km/h."
333,clear,20,4,11,bird,meadows,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is no wind 11 km/h. The sky is clear. There is no rain and no snow 4 mm/h. The temperature is 20 °C.,There is no rain and no snow 4 mm/h. The temperature is 20 °C.,Tomorrow in the meadows there is no wind 11 km/h. The sky is clear. There is no rain and no snow 4 mm/h. The temperature is 20 °C.,"
The weather forecast for tomorrow is: Expect sunny skies and a comfortable temperature of 20°C. There will be no wind at 11 km/h, and the sky will remain clear."
334,overcast,-1,17,26,fish,mountains,There is wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"S, P, T, W",The sky is overcast. There is storm. 17 mm/h. The temperature is -1 °C. There is wind 26 km/h.,The sky is overcast. There is storm. 17 mm/h. The temperature is -1 °C.,The sky is overcast. There is storm. 17 mm/h. The temperature is -1 °C. The wind is 26 km/h.,"
Tomorrow on the mountains, the sky will be overcast with stormy conditions. The temperature will be -1°C, and there will be 17 mm/h of precipitation. Additionally, there will be a strong wind blowing at 26 km/h."
335,clear,19,5,40,fish,city,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow.,There is rain.,No snow,There is rain.,There is rain.,There is rain.,"P, S, T, W",There is no rain and no snow 5 mm/h. The temperature is 19 °C. The sky is clear. There is wind 40 km/h.,There is no rain and no snow 5 mm/h. The temperature is 19 °C. The sky is clear.,Tomorrow in the city there is no rain and no snow 5 mm/h. The temperature is 19 °C. The sky is clear. There is wind 40 km/h.,"
Tomorrow in the city, there will be no rain or snow, with a temperature of 19 °C and clear skies. There will also be a gentle breeze blowing at 40 km/h."
336,cloudy,27,0,48,cat,mountains,There is wind,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 27 °C. The sky is cloudy. There is no rain and no snow 0 mm/h. There is wind 48 km/h.,The temperature is 27 °C. The sky is cloudy. There is no rain and no snow 0 mm/h.,The temperature will be 27 °C. The sky will be cloudy. There will be no rain and no snow. The wind will be 48 km/h.,"
The weather forecast for tomorrow is for the mountains. The temperature will be 27 °C, and the sky will be cloudy. There will be no rain or snow, and the wind will be blowing at 48 km/h."
337,cloudy,-6,8,53,cat,city,There is strong wind.,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"T, S, P, W",The temperature is -6 °C. There is smog. There is snow 8 mm/h. There is strong wind 53 km/h.,The temperature is -6 °C. There is smog. There is snow 8 mm/h. There is strong wind 53 km/h.,Tomorrow in the city there is smog. There is snow 8 mm/h. There is strong wind 53 km/h.,"
Tomorrow in the city, the temperature will be -6 °C. There will be smog. There will be 8 mm/h of snow. There will be a strong wind at 53 km/h."
338,overcast,3,8,77,cat,meadows,There is strong wind,The sky is overcast,There is mist,The sky is overcast,There is mist,There is rain,There is rain.,There is snow.,There will be snow.,There is snow,There is rain.,There is rain.,"T, S, P, W",The temperature is 3 °C. The sky is overcast. There is rain 8 mm/h. There is strong wind 77 km/h.,The temperature is 3 °C. The sky is overcast. There is rain 8 mm/h.,The temperature will be 3 °C. The sky will be overcast. There will be rain 8 mm/h. The wind will be strong 77 km/h.,"
The weather forecast for tomorrow is: Expect a mild day with temperatures reaching 3 °C on the meadows. Cloudy skies with 8 mm/h of rain will likely dominate the day. A strong wind with 77 km/h will make it feel cooler than the actual temperature."
339,cloudy,3,12,15,cat,city,There is no wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is snow,There is rain.,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"T, S, P, W",The temperature is 3 °C. There is smog. There is snow 12 mm/h. There is no wind 15 km/h.,The temperature is 3 °C. There is smog. There is snow 12 mm/h. There is no wind 15 km/h.,Tomorrow in the city there is smog. There is snow 12 mm/h. There is no wind 15 km/h.,"
Tomorrow in the city, the temperature will be 3 °C. There will be smog. There will be 12 mm of snow. There will be no wind at 15 km/h."
340,clear,1,8,9,cat,meadows,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is snow.,No snow,There is snow,There is snow,There is snow,"P, S, T, W","P, S, T, W","P, S, T","Tomorrow in/on the meadows. P, S, T, W.","'Tomorrow, on the meadows, P, S, T, W.'"
341,overcast,27,12,22,fish,mountains,There is wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is overcast. There is storm. 12 mm/h. The temperature is 27 °C. There is wind 22 km/h.,The sky is overcast. There is storm. 12 mm/h. The temperature is 27 °C.,The sky is overcast. There is storm. 12 mm/h. The temperature is 27 °C. The wind is 22 km/h.,"
Tomorrow, on the mountains, the weather will be overcast with stormy conditions and 12 mm/h of precipitation. The temperature will be 27 °C. Additionally, there will be a strong wind blowing at 22 km/h."
342,cloudy,28,2,18,bird,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is rain.,There is rain.,There is rain.,There is rain and snow.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is wind 18 km/h. There is smog. There is rain. 2 mm/h. The temperature is 28 °C.,There is smog. There is rain. 2 mm/h. The temperature is 28 °C.,"Tomorrow in the city there is smog, rain, wind 18 km/h and temperature 28 °C.","
The weather forecast for tomorrow in the city is: Expect partly cloudy skies with a gentle breeze at 18 km/h. There will be a chance of light rain, with only 2 mm/h expected. The temperature will be around 28 °C."
343,cloudy,27,6,36,fish,city,There is wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W","S, P, T, W","S, P, T","Tomorrow in the city S, P, T, W.","
The weather in the city tomorrow will be mostly sunny with a chance of showers in the afternoon."
344,cloudy,1,2,19,fish,beach,There is wind,There is mist,The sky is cloudy,There is mist,The sky is cloudy,There is rain,There is rain.,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"S, P, T, W",There is mist. There is rain 2 mm/h. The temperature is 1 °C. There is wind 19 km/h.,There is mist. There is rain 2 mm/h. The temperature is 1 °C.,Tomorrow there is mist. There is rain 2 mm/h. The temperature is 1 °C. The wind speed is 19 km/h.,"
The weather forecast for tomorrow on the beach is:

1. There will be mist in the morning.
2. It will rain 2 mm/h in the afternoon.
3. The temperature will be 1 °C.
4. There will be a gentle breeze blowing at 19 km"
345,clear,28,0,63,bird,mountains,There is strong wind.,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is strong wind 63 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 28 °C.,There is strong wind 63 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 28 °C.,The temperature will be 28 °C. The wind will blow with a speed of 63 km/h. The sky will be clear.,"
Tomorrow on the mountains, the weather will be clear with strong winds at 63 km/h. There will be no rain or snow, and the temperature will be 28 °C."
346,clear,11,19,28,bird,meadows,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,No snow,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is wind 28 km/h. The sky is clear. There is no rain and no snow 19 mm/h. The temperature is 11 °C.,There is no rain and no snow 19 mm/h. The temperature is 11 °C.,Tomorrow in the meadows there is wind 28 km/h. The sky is clear. There is no rain and no snow 19 mm/h. The temperature is 11 °C.,"
Tomorrow on the meadows, the weather will be clear with a gentle breeze blowing at 28 km/h. There will be no rain or snow, and the temperature will be a comfortable 11 °C."
